"id_client"	"p_resiliation"
"ID_885049721126"	1
"ID_669211690207"	1
"ID_220108735943"	1
"ID_282743884149"	1
"ID_966867941044"	1
"ID_583146443350"	1
"ID_151119988203"	1
"ID_802703375929"	1
"ID_460516710049"	1
"ID_601012928877"	1
"ID_612644588115"	1
"ID_635382389759"	1
"ID_597353486762"	1
"ID_826831169951"	1
"ID_277595783760"	1
"ID_353979237170"	1
"ID_683083635607"	1
"ID_483182063132"	1
"ID_741666812562"	1
"ID_215104871343"	1
"ID_699258476635"	1
"ID_180403395314"	1
"ID_957918139621"	1
"ID_826386433712"	1
"ID_506297474544"	1
"ID_605932544035"	1
"ID_672423563838"	1
"ID_807873644357"	1
"ID_907236571893"	1
"ID_485310459270"	1
"ID_933214089336"	1
"ID_408159037031"	1
"ID_679480138505"	1
"ID_530543975174"	1
"ID_790518864799"	1
"ID_909442546735"	1
"ID_529345209631"	1
"ID_159983702032"	1
"ID_683670774514"	1
"ID_604197649753"	1
"ID_226981813566"	1
"ID_566054414243"	1
"ID_596865385071"	1
"ID_829649762171"	1
"ID_286332554923"	1
"ID_138528313552"	1
"ID_564141019790"	1
"ID_269916278622"	1
"ID_219862035159"	1
"ID_828155254167"	1
"ID_311657702556"	1
"ID_250259820907"	1
"ID_626533808199"	1
"ID_776604062727"	1
"ID_493345194912"	1
"ID_229027483672"	1
"ID_462475153879"	1
"ID_372891114919"	1
"ID_454564506446"	1
"ID_945947854848"	1
"ID_502380852170"	1
"ID_814237393539"	1
"ID_765118738108"	1
"ID_246264748949"	1
"ID_871152439328"	1
"ID_165444339703"	1
"ID_895089422676"	1
"ID_878243693699"	1
"ID_568764529968"	1
"ID_267051191566"	1
"ID_443506364684"	1
"ID_572672581008"	1
"ID_544876709834"	1
"ID_640366258072"	1
"ID_897931131766"	1
"ID_460820305096"	1
"ID_282215936148"	1
"ID_616113756837"	1
"ID_188538456051"	1
"ID_423063605243"	1
"ID_681320983396"	1
"ID_169542942415"	1
"ID_877093798843"	1
"ID_290583983199"	1
"ID_142672742225"	1
"ID_938364916359"	1
"ID_501466812753"	1
"ID_824412041635"	1
"ID_453505435378"	1
"ID_273192798520"	1
"ID_524643054989"	1
"ID_534144431322"	1
"ID_835256966639"	1
"ID_863829802519"	1
"ID_545239182722"	1
"ID_832061382398"	1
"ID_224125614680"	1
"ID_835709674068"	1
"ID_197298680617"	1
"ID_440493215081"	1
"ID_695205730896"	1
"ID_752122525569"	1
"ID_422987760335"	1
"ID_105120339945"	1
"ID_758872216129"	1
"ID_221316188072"	1
"ID_894435215133"	1
"ID_762999658875"	1
"ID_380401298907"	1
"ID_228073769355"	1
"ID_257193869752"	1
"ID_931093339590"	1
"ID_193754540800"	1
"ID_514819531522"	1
"ID_922829983347"	1
"ID_236959895136"	1
"ID_345636346725"	1
"ID_368539896313"	1
"ID_856723087726"	1
"ID_858531988346"	1
"ID_260583388601"	1
"ID_856930429189"	1
"ID_670413130834"	1
"ID_824722138524"	1
"ID_218856163192"	1
"ID_358047920260"	1
"ID_496313723035"	1
"ID_730801074035"	1
"ID_972469262673"	1
"ID_449590680073"	1
"ID_339443116886"	1
"ID_364312667430"	1
"ID_798381984326"	1
"ID_416479651312"	1
"ID_415635271378"	1
"ID_137927103107"	1
"ID_186074609862"	1
"ID_908442743266"	1
"ID_336743584991"	1
"ID_212146598479"	1
"ID_993380551223"	1
"ID_657534720077"	1
"ID_968487061965"	1
"ID_144118313745"	1
"ID_528714030529"	1
"ID_781440805169"	1
"ID_430959145553"	1
"ID_829133757962"	1
"ID_298589086299"	1
"ID_538291292003"	1
"ID_598050178819"	1
"ID_722238522825"	1
"ID_979623565301"	1
"ID_487147303059"	1
"ID_805047669357"	1
"ID_754657188363"	1
"ID_926474255475"	1
"ID_788356741978"	1
"ID_901944632596"	1
"ID_396628291717"	1
"ID_318603119775"	1
"ID_803397057626"	1
"ID_992105888804"	1
"ID_193017605549"	1
"ID_640037822835"	1
"ID_691054343568"	1
"ID_229295393186"	1
"ID_891425162224"	1
"ID_929349171989"	1
"ID_948901265370"	1
"ID_688396945823"	1
"ID_799186469335"	1
"ID_550728051062"	1
"ID_931234409535"	1
"ID_932706647661"	1
"ID_993852415492"	1
"ID_616437472224"	1
"ID_171111292053"	1
"ID_724344740028"	1
"ID_719169881669"	1
"ID_253339542101"	1
"ID_945122115009"	1
"ID_439604619350"	1
"ID_397858634404"	1
"ID_765362330463"	1
"ID_977099179559"	1
"ID_367371102780"	1
"ID_566711690401"	1
"ID_999404622940"	1
"ID_260052592428"	1
"ID_619026395268"	1
"ID_889287988138"	1
"ID_382547907663"	1
"ID_464104845218"	1
"ID_236037557216"	1
"ID_401373631601"	1
"ID_930571489423"	1
